"","indx","trigger1","trigger2","trigger3","context1","context2","context3","function1","function2","function3","content1","content2","content3","content4","time_start","time_end","duration","recur","singers_n","singers_age1","singers_age2","shape_type","appear_paint","appear_adorn","appear_cloth","appear_mask","appear_obj","restrict_sex","restrict_marry","restrict_grp1","restrict_grp2","audience_n","audience_age1","audience_age2","audience_sex","audience_marry","audience_grp1","audience_grp2","instrument_type1","instrument_type2","instrument_type3"
"2725",2725,"Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"2726",2726,"Puberty and initiation",".",".","Puberty and initiation",".",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adolescent/young adult",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"2727",2727,"Disasters",".",".","Cultural identity and pride","Spectacles",".","Ideas about nature and people",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Aerophone",".","."
"2728",2728,"Sickness, medical care, and shamans","Hunting and trapping",".","Sickness, medical care, and shamans",".",".","Peacemaking (maintaining peace)","Ideas about nature and people",".",".",".",".",".","Evening (1900 to 2200)","Evening (1900 to 2200)",".",".","Multiple singers (number unknown)",".",".","Circle",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"2729",2729,".",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Ideas about nature and people",".",".",".",".",".",".","Evening (1900 to 2200)","Evening (1900 to 2200)",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Aerophone",".","."
"2730",2730,".",".",".",".",".",".","Ideas about nature and people",".",".",".",".",".",".","Early evening (1700 to 1900) (includes sunset)","Early morning (0400 to 0700) (includes daybreak, dawn)",">10 hours","No recurrence",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"2731",2731,".",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Membranophone",".","."
"2732",2732,".",".",".",".",".",".","Status, role, and prestige",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Other group (incl. proper names)",".",".",".",".",".",".",".",".",".",".","."
"2733",2733,"Sickness, medical care, and shamans",".",".","Sickness, medical care, and shamans",".",".","Sickness, medical care, and shamans",".",".","Sickness, medical care, and shamans",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Religious people and healers (e.g., shamans, priests, doctors)",".",".",".",".","Both sexes",".","Adults",".",".",".","."
"2734",2734,"Sickness, medical care, and shamans",".",".","Sickness, medical care, and shamans",".",".","Sickness, medical care, and shamans",".",".","Sickness, medical care, and shamans","Travel and transportation","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Religious people and healers (e.g., shamans, priests, doctors)",".",".",".",".","Both sexes",".","Adults",".",".",".","."
"2735",2735,"War","Travel and transportation",".","War",".",".","Human Biology","War","Travel and transportation","Travel and transportation",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".","Multiple lines",".",".",".",".",".","Female",".",".",".","Multiple singers (number unknown)","Adult",".","Male",".","Adults","Warriors",".",".","."
"2736",2736,"Travel and transportation","War",".","Intra-community relations",".",".","Drama","War",".",".",".",".",".","Night (2200 to 0400)","Night (2200 to 0400)",".",".","Multiple singers (number unknown)",".",".","Circle",".",".",".",".",".","Male",".","Raiders, warriors, head-hunters, etc.","Leaders","Multiple singers (number unknown)","Adult",".","Male",".","Warriors",".",".",".","."
"2737",2737,".",".",".",".",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Idiophone","Membranophone","."
"2738",2738,".",".",".",".",".",".","Cultural identity and pride","War",".","Cultural identity and pride","War",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Idiophone","Membranophone","."
"2739",2739,".",".",".",".",".",".","Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Idiophone","Membranophone","."
"2740",2740,".",".",".","War",".",".",".","War",".","Death (burials, funerals, mourning)","War","War",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"2741",2741,".",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".",".",".",".",".",".","1-10 hours","No recurrence","Multiple singers (number unknown)","Adult","Child",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Membranophone","Idiophone","."
"2742",2742,".",".",".","Food consumption",".",".","Human Biology",".",".","Food consumption","Human Biology",".",".",".",".",".",".","Solo singer","Adult",".",".",".",".",".",".",".",".",".",".",".","Solo listener","Child",".","Male","Unmarried","Children (general, includes ""boys"" or ""girls"")",".","Membranophone",".","."
"2743",2743,".",".",".","Hunting and trapping",".",".",".",".",".",".",".",".",".",".",".",".",".","2-5 singers",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"2744",2744,".",".",".","Infancy and childhood",".",".","Infancy and childhood",".",".","Sleeping",".",".",".",".",".",".",".","Solo singer","Adult",".",".",".",".",".",".",".",".",".",".",".","Solo listener","Infant or toddler",".",".","Unmarried","Children (infants & toddlers)",".",".",".","."
"2745",2745,"Missions (missionaries)",".",".",".",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"2746",2746,"Cultural identity and pride",".",".","Cultural identity and pride",".",".",".",".",".",".",".",".",".",".",".",".",".","6-10 singers","Adult",".","Circle",".",".","Torso",".",".",".",".",".",".","Multiple singers (number unknown)","All ages",".","Both sexes","Both married & unmarried","Community (mixed-gender groups, includes ""village"")",".","Membranophone","Idiophone","."
"2747",2747,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Solo singer","Adult",".",".",".",".",".",".",".",".",".",".",".","Solo listener","Adult",".","Male",".","Adults",".",".",".","."
"2748",2748,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"2749",2749,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"2750",2750,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"2751",2751,"War",".",".",".",".",".","Drives and emotions",".",".","War","Hunting and trapping",".",".","Night (2200 to 0400)","Night (2200 to 0400)",".",".","Solo singer","Adult",".",".",".",".",".",".",".",".",".",".",".","2-5 listeners","Adolescent/young adult",".","Female","Unmarried","Adolescents",".",".",".","."
"2752",2752,"War",".",".","Travel and transportation",".",".","Interpersonal relations (includes love)",".",".",".",".",".",".","Night (2200 to 0400)","Night (2200 to 0400)",".",".","Solo singer","Adult",".",".",".",".",".",".",".",".",".",".",".","2-5 listeners","Adolescent/young adult",".","Female","Unmarried","Adolescents",".",".",".","."
"2753",2753,"War",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","2-5 singers","Adult",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"2754",2754,"Death (burials, funerals, mourning)",".",".",".",".",".","Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)","Family (includes nuclear family, polygamy, adoption)",".",".","Evening (1900 to 2200)","Evening (1900 to 2200)",".",".","Solo singer","Elder",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Male",".","Adults",".",".",".","."
"2755",2755,".",".",".",".",".",".",".",".",".","Location","Family (includes nuclear family, polygamy, adoption)",".",".","Evening (1900 to 2200)","Evening (1900 to 2200)",".",".","Solo singer","Elder",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"2756",2756,"War",".",".",".",".",".","Death (burials, funerals, mourning)",".",".","Family (includes nuclear family, polygamy, adoption)","Death (burials, funerals, mourning)","Hunting and trapping",".",".",".",".",".","Solo singer","Elder",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"2757",2757,"Death (burials, funerals, mourning)",".",".",".",".",".","Death (burials, funerals, mourning)",".",".","Family (includes nuclear family, polygamy, adoption)","Death (burials, funerals, mourning)",".",".","Evening (1900 to 2200)","Evening (1900 to 2200)",".",".","Solo singer","Elder",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"2758",2758,".",".",".",".",".",".","Interpersonal relations (includes love)",".",".","Interpersonal relations (includes love)","Gender roles and issues",".",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".","Solo listener","Adult",".","Female","Unmarried","Adults",".",".",".","."
"2759",2759,"Travel and transportation","Interpersonal relations (includes love)",".",".",".",".","Drives and emotions","Interpersonal relations (includes love)",".","Interpersonal relations (includes love)","Travel and transportation",".",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"2760",2760,".",".",".",".",".",".","Interpersonal relations (includes love)",".",".","War",".",".",".",".",".",".",".","Solo singer","Adult",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Membranophone",".","."
"2761",2761,"Travel and transportation","Interpersonal relations (includes love)",".",".",".",".","Drives and emotions","Interpersonal relations (includes love)",".","Drives and emotions",".","Annual cycle",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"2762",2762,"Travel and transportation","Interpersonal relations (includes love)",".",".",".",".","Drives and emotions","Interpersonal relations (includes love)",".",".",".",".",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"2763",2763,".",".",".",".",".",".","Interpersonal relations (includes love)",".",".","Interpersonal relations (includes love)","Gender roles and issues",".",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"2764",2764,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"2765",2765,".",".",".",".",".",".","Communication","Cultural identity and pride",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Fauna","Fauna",".",".",".",".",".","Solo singer","Adult",".",".",".",".",".",".",".",".",".",".",".","Solo listener",".",".",".",".",".",".",".",".","."
"2766",2766,".",".",".",".",".",".","Communication","Cultural identity and pride",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Fauna",".",".",".",".",".",".","Solo singer","Adult",".",".",".",".",".",".",".",".",".",".",".","Solo listener",".",".",".",".",".",".",".",".","."
"2767",2767,".",".",".",".",".",".","Communication","Cultural identity and pride",".",".",".",".",".",".",".",".",".","Solo singer","Adult",".",".",".",".",".",".",".",".",".",".",".","Solo listener",".",".",".",".",".",".",".",".","."
"2768",2768,".",".",".",".",".",".","Recreational and non-therapeutic drugs",".",".",".",".",".",".",".",".",".",".","Solo singer","Adult",".",".",".",".",".",".",".",".",".",".",".","Solo listener",".",".",".",".",".",".",".",".","."
"2769",2769,".",".",".",".",".",".","Communication","Cultural identity and pride",".",".",".",".",".",".",".",".",".","Solo singer","Adult",".",".",".",".",".",".",".",".",".",".",".","Solo listener",".",".",".",".",".",".",".",".","."
"2770",2770,".",".",".",".",".",".","Communication","Cultural identity and pride",".","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".","Solo singer","Adult",".",".",".",".",".",".",".",".",".",".",".","Solo listener",".",".",".",".",".",".",".",".","."
"2771",2771,".",".",".",".",".",".","Tools and appliances (not weapons)","Death (burials, funerals, mourning)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"2772",2772,".",".",".","Dance","Fauna",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
